,FullGeoName,Year,Travel status,County,Count,Legend,Notes,LegendInts
244,"TX, Nueces",2023,All,48355,1 to 4,1 to 4,"TX, Nueces County",4
245,"TX, Potter",2023,All,48375,1 to 4,1 to 4,"TX, Potter County",4
246,"TX, Refugio",2023,All,48391,1 to 4,1 to 4,"TX, Refugio County",4
247,"TX, Rockwall",2023,All,48397,1 to 4,1 to 4,"TX, Rockwall County",4
248,"TX, San Patricio",2023,All,48409,1 to 4,1 to 4,"TX, San Patricio County",4
249,"TX, Tom Green",2023,All,48451,1 to 4,1 to 4,"TX, Tom Green County",4
250,"UT, Cache",2023,All,49005,1 to 4,1 to 4,"UT, Cache County",4
251,"UT, Utah",2023,All,49049,1 to 4,1 to 4,"UT, Utah County",4
252,"UT, Wasatch",2023,All,49051,1 to 4,1 to 4,"UT, Wasatch County",4
253,"UT, Weber",2023,All,49057,1 to 4,1 to 4,"UT, Weber County",4
254,"VT, Chittenden",2023,All,50007,1 to 4,1 to 4,"VT, Chittenden County",4
255,"VT, Windsor",2023,All,50027,1 to 4,1 to 4,"VT, Windsor County",4
256,"VA, Albemarle",2023,All,51003,1 to 4,1 to 4,"VA, Albemarle County",4
257,"VA, Arlington",2023,All,51013,1 to 4,1 to 4,"VA, Arlington County",4
258,"VA, Culpeper",2023,All,51047,1 to 4,1 to 4,"VA, Culpeper County",4
259,"VA, Montgomery",2023,All,51121,1 to 4,1 to 4,"VA, Montgomery County",4
260,"VA, Prince William",2023,All,51153,1 to 4,1 to 4,"VA, Prince William County",4
261,"VA, Alexandria City",2023,All,51510,1 to 4,1 to 4,"VA, Alexandria, City of",4
262,"VA, Chesapeake City",2023,All,51550,1 to 4,1 to 4,"VA, Chesapeake, City of",4
263,"VA, Emporia City",2023,All,51595,1 to 4,1 to 4,"VA, Emporia, City of",4
264,"VA, Newport News City",2023,All,51700,1 to 4,1 to 4,"VA, Newport News, City of",4
265,"VA, Winchester City",2023,All,51840,1 to 4,1 to 4,"VA, Winchester, City of",4
266,"WA, Clark",2023,All,53011,1 to 4,1 to 4,"WA, Clark County",4
267,"WA, Island",2023,All,53029,1 to 4,1 to 4,"WA, Island County",4
268,"WA, Kitsap",2023,All,53035,1 to 4,1 to 4,"WA, Kitsap County",4
269,"WA, San Juan",2023,All,53055,1 to 4,1 to 4,"WA, San Juan County",4
270,"WA, Snohomish",2023,All,53061,1 to 4,1 to 4,"WA, Snohomish County",4
271,"WA, Spokane",2023,All,53063,1 to 4,1 to 4,"WA, Spokane County",4
272,"WA, Whatcom",2023,All,53073,1 to 4,1 to 4,"WA, Whatcom County",4
273,"WV, Kanawha",2023,All,54039,1 to 4,1 to 4,"WV, Kanawha County",4
274,"WI, Brown",2023,All,55009,1 to 4,1 to 4,"WI, Brown County",4
275,"WI, Dane",2023,All,55025,1 to 4,1 to 4,"WI, Dane County",4
276,"WI, Douglas",2023,All,55031,1 to 4,1 to 4,"WI, Douglas County",4
277,"WI, Kenosha",2023,All,55059,1 to 4,1 to 4,"WI, Kenosha County",4
278,"WI, Milwaukee",2023,All,55079,1 to 4,1 to 4,"WI, Milwaukee County",4
279,"WI, Shawano",2023,All,55115,1 to 4,1 to 4,"WI, Shawano County",4
280,"WI, Walworth",2023,All,55127,1 to 4,1 to 4,"WI, Walworth County",4
281,"WI, Waukesha",2023,All,55133,1 to 4,1 to 4,"WI, Waukesha County",4
282,"WY, Big Horn",2023,All,56003,1 to 4,1 to 4,"WY, Big Horn County",4
283,"WY, Teton",2023,All,56039,1 to 4,1 to 4,"WY, Teton County",4
284,"GU, Guam",2023,All,66010,1 to 4,1 to 4,"GU, Guam",4
285,"MP, Saipan",2023,All,69110,1 to 4,1 to 4,"MP, Saipan Municipality",4
286,"PR, Aibonito",2023,All,72009,1 to 4,1 to 4,"PR, Aibonito Municipality",4
287,"PR, Barceloneta",2023,All,72017,1 to 4,1 to 4,"PR, Barceloneta Municipality",4
288,"PR, Barranquitas",2023,All,72019,1 to 4,1 to 4,"PR, Barranquitas Municipality",4
289,"PR, Cayey",2023,All,72035,1 to 4,1 to 4,"PR, Cayey Municipality",4
290,"PR, Cidra",2023,All,72041,1 to 4,1 to 4,"PR, Cidra Municipality",4
291,"PR, Comerio",2023,All,72045,1 to 4,1 to 4,"PR, Comerio Municipality",4
292,"PR, Culebra",2023,All,72049,1 to 4,1 to 4,"PR, Culebra Municipality",4
293,"PR, Florida",2023,All,72054,1 to 4,1 to 4,"PR, Florida Municipality",4
294,"PR, Guanica",2023,All,72055,1 to 4,1 to 4,"PR, Guanica Municipality",4
295,"PR, Guayama",2023,All,72057,1 to 4,1 to 4,"PR, Guayama Municipality",4
296,"PR, Guayanilla",2023,All,72059,1 to 4,1 to 4,"PR, Guayanilla Municipality",4
297,"PR, Las Marias",2023,All,72083,1 to 4,1 to 4,"PR, Las Marias Municipality",4
298,"PR, Loiza",2023,All,72087,1 to 4,1 to 4,"PR, Loiza Municipality",4
299,"PR, Luquillo",2023,All,72089,1 to 4,1 to 4,"PR, Luquillo Municipality",4
300,"PR, Manati",2023,All,72091,1 to 4,1 to 4,"PR, Manati Municipality",4
301,"PR, Naranjito",2023,All,72105,1 to 4,1 to 4,"PR, Naranjito Municipality",4
302,"PR, Santa Isabel",2023,All,72133,1 to 4,1 to 4,"PR, Santa Isabel Municipality",4
303,"PR, Vega Alta",2023,All,72143,1 to 4,1 to 4,"PR, Vega Alta Municipality",4
304,"PR, Villalba",2023,All,72149,1 to 4,1 to 4,"PR, Villalba Municipality",4
305,"PR, Yabucoa",2023,All,72151,1 to 4,1 to 4,"PR, Yabucoa Municipality",4
306,"AZ, Maricopa",2023,All,4013,27,5 to 49,"AZ, Maricopa County",49
307,"AR, Washington",2023,All,5143,7,5 to 49,"AR, Washington County",49
308,"CA, Alameda",2023,All,6001,22,5 to 49,"CA, Alameda County",49
309,"CA, Orange",2023,All,6059,18,5 to 49,"CA, Orange County",49
310,"CA, San Bernardino",2023,All,6071,5,5 to 49,"CA, San Bernardino County",49
311,"CA, San Diego",2023,All,6073,25,5 to 49,"CA, San Diego County",49
312,"CA, San Francisco",2023,All,6075,12,5 to 49,"CA, San Francisco, City and County of",49
313,"CA, San Mateo",2023,All,6081,8,5 to 49,"CA, San Mateo County",49
314,"CA, Santa Clara",2023,All,6085,29,5 to 49,"CA, Santa Clara County",49
315,"CA, Stanislaus",2023,All,6099,5,5 to 49,"CA, Stanislaus County",49
